"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		216",태백,Jan.17,-4.4,1,7,2017.1.4,-9.5,-16.3,2017.1.25
"		216",태백,Feb.17,-2.2,3.1,10.4,2017.2.16,-7.7,-13.7,2017.2.11
"		216",태백,Mar.17,1.7,7.6,15.4,2017.3.30,-3.5,-8.7,2017.3.8
"		216",태백,Apr.17,10.4,16.4,25.2,2017.4.30,4.1,-1.4,2017.4.2
"		216",태백,May.17,15.8,22.4,30.8,2017.5.29,9.6,3.8,2017.5.2
"		216",태백,Jun.17,17.5,24.3,31.5,2017.6.19,11.5,5.3,2017.6.12
"		216",태백,Jul.17,23,27.5,33.1,2017.7.13,19.3,12.2,2017.7.27
"		216",태백,Aug.17,20.6,24.8,32.4,2017.8.6,17.2,9.3,2017.8.31
"		216",태백,Sep.17,15.7,21.8,27.1,2017.9.9,10.3,6.1,2017.9.29
"		216",태백,Oct.17,10.6,16,24.1,2017.10.9,6.3,-3.1,2017.10.31
"		216",태백,Nov.17,3.5,9,18.9,2017.11.6,-2.1,-8.6,2017.11.21
"		216",태백,Dec.17,-4.2,0.2,6.4,2017.12.23,-8.9,-15.1,2017.12.12
"		216",태백,Jan.18,-6.1,-1,6.4,2018.1.15,-10.7,-20.1,2018.1.27
"		216",태백,Feb.18,-4.4,0.9,8,2018.2.27,-9.7,-18.9,2018.2.7
"		216",태백,Mar.18,4.3,9.6,20.5,2018.3.31,-1.4,-12.7,2018.3.2
"		216",태백,Apr.18,10.1,16,28.4,2018.4.21,4,-2.9,2018.4.7
"		216",태백,May.18,14.6,20.7,31,2018.5.15,8.6,1.9,2018.5.21
"		216",태백,Jun.18,19.2,25.4,31.6,2018.6.24,13.7,9.1,2018.6.17
"		216",태백,Jul.18,23.5,28.6,35.7,2018.7.21,19.2,11.7,2018.7.8
"		216",태백,Aug.18,23.2,28.2,35.5,2018.8.3,19.3,14.7,2018.8.19
"		216",태백,Sep.18,15.9,20.5,25.7,2018.9.4,11.9,4.7,2018.9.25
"		216",태백,Oct.18,9,15.3,21.8,2018.10.7,3.7,-2.4,2018.10.30
"		216",태백,Nov.18,4.7,10.6,19.4,2018.11.4,-0.6,-7.2,2018.11.23
"		216",태백,Dec.18,-2.6,2.9,13.3,2018.12.3,-7.9,-16.3,2018.12.31
"		216",태백,Jan.19,-3.4,2.6,7.9,2019.1.30,-8.9,-14.6,2019.1.9
"		216",태백,Feb.19,-0.9,4.7,11.2,2019.2.24,-6.3,-11.7,2019.2.10
"		216",태백,Mar.19,3.7,9.4,16.8,2019.3.20,-1.7,-7.6,2019.3.16
"		216",태백,Apr.19,8.1,14.3,23.1,2019.4.23,2.4,-4.5,2019.4.1
"		216",태백,May.19,16.3,23.1,31.3,2019.5.24,8.9,-1.3,2019.5.7
"		216",태백,Jun.19,17.9,24,31.4,2019.6.4,12.6,7.3,2019.6.12
"		216",태백,Jul.19,21.6,26,31.3,2019.7.27,18.4,13.7,2019.7.3
"		216",태백,Aug.19,22.5,27.7,33,2019.8.2,18.6,12.8,2019.8.25
"		216",태백,Sep.19,17.6,22.8,29.2,2019.9.10,13.5,6,2019.9.24
"		216",태백,Oct.19,11.5,16.9,23.7,2019.10.4,6.5,-1.1,2019.10.28
"		216",태백,Nov.19,4.8,11.3,18.4,2019.11.24,-0.6,-6.5,2019.11.21
"		216",태백,Dec.19,-0.7,4.5,12.2,2019.12.16,-5.7,-12.6,2019.12.6
"		216",태백,Jan.20,-1.3,3.4,12.2,2020.1.7,-5.2,-11.2,2020.1.16
"		216",태백,Feb.20,-0.6,4.9,13.8,2020.2.14,-5.8,-17.1,2020.2.6
"		216",태백,Mar.20,4.2,10.6,21.5,2020.3.26,-1.9,-8,2020.3.6
"		216",태백,Apr.20,6.7,13,23.3,2020.4.30,0.7,-5.5,2020.4.5
"		216",태백,May.20,14.8,21.3,27.5,2020.5.1,9.1,2.1,2020.5.21
"		216",태백,Jun.20,20.6,26.8,34.9,2020.6.9,15.2,10.2,2020.6.7
"		216",태백,Jul.20,18.9,23.3,29.1,2020.7.31,15.4,10.9,2020.7.2
"		216",태백,Aug.20,23.3,27.5,32.8,2020.8.19,20.1,15.3,2020.8.24
"		216",태백,Sep.20,15.8,20.1,27.3,2020.9.1,12.4,5,2020.9.28
"		216",태백,Oct.20,9.8,16.2,21.1,2020.10.2,4.6,-0.9,2020.10.29
"		216",태백,Nov.20,5.6,11,18.7,2020.11.19,0.7,-5.6,2020.11.29
"		216",태백,Dec.20,-2.6,2.2,8.7,2020.12.28,-6.9,-14.9,2020.12.31
"		216",태백,Jan.21,-4.4,0.4,8.8,2021.1.25,-9.4,-18.6,2021.1.8
"		216",태백,Feb.21,0.6,6.1,16.8,2021.2.21,-4.8,-14.8,2021.2.18
"		216",태백,Mar.21,5.3,11.2,18.8,2021.3.26,-0.1,-10.3,2021.3.3
"		216",태백,Apr.21,9.3,15.3,23.6,2021.4.21,3.6,-3.1,2021.4.10
"		216",태백,May.21,13.5,18.9,26.6,2021.5.23,8.4,3.3,2021.5.2
"		216",태백,Jun.21,17.9,23.1,28.3,2021.6.9,13.7,9.7,2021.6.4
"		216",태백,Jul.21,22.2,28,32.2,2021.7.30,17.4,14.7,2021.7.1
"		216",태백,Aug.21,20.4,25,32.5,2021.8.5,17.2,14.1,2021.8.30
"		216",태백,Sep.21,16.6,21.1,27.6,2021.9.11,13,8.4,2021.9.24
"		216",태백,Oct.21,11,16.9,26.9,2021.10.3,6.2,-2.9,2021.10.18
"		216",태백,Nov.21,4.3,10.2,15.8,2021.11.5,-0.8,-7.4,2021.11.27
"		216",태백,Dec.21,-2.2,3,11.7,2021.12.10,-7,-16.6,2021.12.26
"		216",태백,Jan.22,-4.8,1.3,6.9,2022.1.10,-10.5,-16.4,2022.1.1
"		216",태백,Feb.22,-4.9,0.9,8.8,2022.2.28,-10.1,-16,2022.2.17
"		216",태백,Mar.22,3.9,9.9,18.3,2022.3.25,-2.1,-9.5,2022.3.7
"		216",태백,Apr.22,10.7,16.9,26.2,2022.4.12,4.4,-3.3,2022.4.3
"		216",태백,May.22,14.9,21.6,28.9,2022.5.24,8,-0.5,2022.5.3
"		216",태백,Jun.22,18.7,24.2,33.4,2022.6.22,14.2,8,2022.6.7
"		216",태백,Jul.22,22.4,27.8,33,2022.7.2,18.7,14.6,2022.7.27
"		216",태백,Aug.22,21.7,25.8,31.5,2022.8.7,18,8.8,2022.8.28
"		216",태백,Sep.22,16.2,22.6,29.4,2022.9.17,11.2,4.4,2022.9.22
"		216",태백,Oct.22,9.5,15.9,26.9,2022.10.1,4.4,-2.4,2022.10.20
"		216",태백,Nov.22,5.9,13.3,19.8,2022.11.12,-0.3,-9.7,2022.11.30
"		216",태백,Dec.22,-5.6,-0.4,6.5,2022.12.10,-10.2,-17.8,2022.12.24
"		216",태백,Jan.23,-4.4,0.9,12.9,2023.1.12,-9.9,-21,2023.1.25
"		216",태백,Feb.23,-1.7,4.3,12.6,2023.2.27,-7.1,-12.2,2023.2.2
"		216",태백,Mar.23,5.9,12.9,22.5,2023.3.22,-0.9,-7,2023.3.13
"		216",태백,Apr.23,9.5,15.8,23.7,2023.4.19,3,-1.8,2023.4.27
"		216",태백,May.23,14.5,20.8,29.2,2023.5.16,7.7,-1.3,2023.5.8
"		216",태백,Jun.23,,,26.4,2023.6.1,,10.1,2023.6.4
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,